time_iso8601,stars_cumulative
2023-08-05 00:00:00+00:00,829
2023-08-09 00:00:00+00:00,830
2023-08-10 00:00:00+00:00,831
2023-08-11 00:00:00+00:00,832
2023-08-15 00:00:00+00:00,833
2023-08-17 00:00:00+00:00,835
2023-08-18 00:00:00+00:00,837
2023-08-23 00:00:00+00:00,838
2023-08-26 00:00:00+00:00,839
2023-08-27 00:00:00+00:00,840
2023-08-28 00:00:00+00:00,841
2023-08-30 00:00:00+00:00,842
2023-09-03 00:00:00+00:00,846
2023-09-04 00:00:00+00:00,847
2023-09-06 00:00:00+00:00,848
2023-09-08 00:00:00+00:00,849
2023-09-09 00:00:00+00:00,850
2023-09-11 00:00:00+00:00,851
2023-09-12 00:00:00+00:00,853
2023-09-14 00:00:00+00:00,854
2023-09-19 00:00:00+00:00,855
2023-09-22 00:00:00+00:00,856
2023-09-23 00:00:00+00:00,857
2023-09-26 00:00:00+00:00,858
2023-09-27 00:00:00+00:00,859
2023-10-04 00:00:00+00:00,860
2023-10-07 00:00:00+00:00,861
2023-10-09 00:00:00+00:00,869
2023-10-10 00:00:00+00:00,873
2023-10-11 00:00:00+00:00,881
2023-10-12 00:00:00+00:00,888
2023-10-13 00:00:00+00:00,895
2023-10-14 00:00:00+00:00,897
2023-10-15 00:00:00+00:00,903
2023-10-16 00:00:00+00:00,908
2023-10-17 00:00:00+00:00,914
2023-10-18 00:00:00+00:00,919
2023-10-19 00:00:00+00:00,921
2023-10-20 00:00:00+00:00,924
2023-10-21 00:00:00+00:00,927
2023-10-22 00:00:00+00:00,930
2023-10-23 00:00:00+00:00,932
2023-10-24 00:00:00+00:00,938
2023-10-25 00:00:00+00:00,950
2023-10-26 00:00:00+00:00,960
2023-10-27 00:00:00+00:00,977
2023-10-28 00:00:00+00:00,984
2023-10-29 00:00:00+00:00,993
2023-10-30 00:00:00+00:00,1007
2023-10-31 00:00:00+00:00,1015
2023-11-01 00:00:00+00:00,1026
2023-11-02 00:00:00+00:00,1043
2023-11-03 00:00:00+00:00,1054
2023-11-04 00:00:00+00:00,1060
2023-11-05 00:00:00+00:00,1068
2023-11-06 00:00:00+00:00,1074
2023-11-07 00:00:00+00:00,1082
2023-11-08 00:00:00+00:00,1085
